"Day ","Items ","Note ","Amount "
"90","Sales E Commerce","Revenue - ECM SO ID: 15090","10920"
"90","Sales E Commerce","Revenue - ECM SO ID: 15173","18935"
"90","Sales E Commerce","Revenue - ECM SO ID: 15244","32251"
"90","Sales E Commerce","Revenue - ECM SO ID: 15252","7949"
"90","Sales E Commerce","Revenue - ECM SO ID: 15258","10483"
"90","Sales E Commerce","Revenue - ECM SO ID: 15259","38543"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"90","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"90","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"90","Salary Expense","Cash Payment - Salary Expense","-20945"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15635","-364"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15816","-118"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15823","-136"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15824","-103"
"90","Retail","Revenue - Retail Sales New York - Sparkling Wine","24311"
"90","Retail","Revenue - Retail Sales New York - Red Wine","11376"
"90","Retail","Revenue - Retail Sales New York - White Wine","10894"
"90","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","10320"
"90","Retail","Revenue - Retail Sales Detroit - Red Wine","6480"
"90","Retail","Revenue - Retail Sales Detroit - White Wine","7696"
"90","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","10600"
"90","Retail","Revenue - Retail Sales Los Angeles - Red Wine","4940"
"90","Retail","Revenue - Retail Sales Los Angeles - White Wine","4401"
"90","Rental Expense","Cash Payment - Rental - New York","-4020"
"90","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"90","Rental Expense","Cash Payment - Rental - Miami","-1800"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"89","Sales E Commerce","Revenue - ECM SO ID: 14892","25146"
"89","Sales E Commerce","Revenue - ECM SO ID: 15079","20930"
"89","Sales E Commerce","Revenue - ECM SO ID: 15082","29877"
"89","Sales E Commerce","Revenue - ECM SO ID: 15086","20735"
"89","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"89","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"89","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"89","Salary Expense","Cash Payment - Salary Expense","-21331"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15447","-83"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15448","-16"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15627","-210"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15631","-113"
"89","Retail","Revenue - Retail Sales New York - Sparkling Wine","24978"
"89","Retail","Revenue - Retail Sales New York - Red Wine","10392"
"89","Retail","Revenue - Retail Sales New York - White Wine","10894"
"89","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","10104"
"89","Retail","Revenue - Retail Sales Detroit - Red Wine","6480"
"89","Retail","Revenue - Retail Sales Detroit - White Wine","6968"
"89","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","11450"
"89","Retail","Revenue - Retail Sales Los Angeles - Red Wine","5070"
