"Day ","Items ","Note ","Amount "
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","800"
"90","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","600"
"90","Marketing Expense","Cash Payment - Marketing - New York - White Wine","600"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","800"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","600"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","600"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","800"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","800"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","800"
"90","Salary Expense","Cash Payment - Salary Expense","20945"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15635","364"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15816","118"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15823","136"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15824","103"
"90","Rental Expense","Cash Payment - Rental - New York","4020"
"90","Rental Expense","Cash Payment - Rental - Detroit","1500"
"90","Rental Expense","Cash Payment - Rental - Miami","1800"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"89","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","800"
"89","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","600"
"89","Marketing Expense","Cash Payment - Marketing - New York - White Wine","600"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","800"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","600"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","600"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","800"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","800"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","800"
"89","Salary Expense","Cash Payment - Salary Expense","21331"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15447","83"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15448","16"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15627","210"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15631","113"
"89","Rental Expense","Cash Payment - Rental - New York","4020"
"89","Rental Expense","Cash Payment - Rental - Detroit","1500"
"89","Rental Expense","Cash Payment - Rental - Miami","1800"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","800"
"88","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","600"
"88","Marketing Expense","Cash Payment - Marketing - New York - White Wine","600"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","800"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","600"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","600"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","800"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","800"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","800"
"88","Salary Expense","Cash Payment - Salary Expense","22145"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14739","11"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15266","83"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15360","125"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15422","317"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15426","22"
