[HIGHEST OVERHEAD] SALARY EXPENSE: 31.79%
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 2, AMOUNT: USD204120
[CASH DEFICIT] DAY: 3, AMOUNT: USD1065394
[CASH DEFICIT] DAY: 4, AMOUNT: USD174265
[CASH DEFICIT] DAY: 5, AMOUNT: USD1799457
[CASH DEFICIT] DAY: 6, AMOUNT: USD89231
[CASH DEFICIT] DAY: 12, AMOUNT: USD395087
[CASH DEFICIT] DAY: 16, AMOUNT: USD1698138
[CASH DEFICIT] DAY: 17, AMOUNT: USD73293
[CASH DEFICIT] DAY: 20, AMOUNT: USD15445
[CASH DEFICIT] DAY: 21, AMOUNT: USD20951
[CASH DEFICIT] DAY: 23, AMOUNT: USD106325
[CASH DEFICIT] DAY: 26, AMOUNT: USD486827
[CASH DEFICIT] DAY: 29, AMOUNT: USD151071
[CASH DEFICIT] DAY: 33, AMOUNT: USD436064
[CASH DEFICIT] DAY: 39, AMOUNT: USD44804
[CASH DEFICIT] DAY: 41, AMOUNT: USD939926
[CASH DEFICIT] DAY: 42, AMOUNT: USD755966
[CASH DEFICIT] DAY: 48, AMOUNT: USD2578
[CASH DEFICIT] DAY: 49, AMOUNT: USD2212
[CASH DEFICIT] DAY: 50, AMOUNT: USD746064
[CASH DEFICIT] DAY: 53, AMOUNT: USD159360
[CASH DEFICIT] DAY: 54, AMOUNT: USD246827
[CASH DEFICIT] DAY: 57, AMOUNT: USD74902
[CASH DEFICIT] DAY: 66, AMOUNT: USD254210
[CASH DEFICIT] DAY: 69, AMOUNT: USD300898
[CASH DEFICIT] DAY: 72, AMOUNT: USD977806
[CASH DEFICIT] DAY: 73, AMOUNT: USD222608
[CASH DEFICIT] DAY: 75, AMOUNT: USD734904
[CASH DEFICIT] DAY: 81, AMOUNT: USD323343
[CASH DEFICIT] DAY: 84, AMOUNT: USD244677
[CASH DEFICIT] DAY: 85, AMOUNT: USD260339
[CASH DEFICIT] DAY: 88, AMOUNT: USD938015
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD12600
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD204120
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD23915
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD24998
[PROFIT DEFICIT] DAY: 9, AMOUNT: USD30604
[PROFIT DEFICIT] DAY: 15, AMOUNT: USD232115
[PROFIT DEFICIT] DAY: 18, AMOUNT: USD4492
[PROFIT DEFICIT] DAY: 20, AMOUNT: USD998475
[PROFIT DEFICIT] DAY: 24, AMOUNT: USD30578
[PROFIT DEFICIT] DAY: 29, AMOUNT: USD6773
[PROFIT DEFICIT] DAY: 30, AMOUNT: USD88204
[PROFIT DEFICIT] DAY: 31, AMOUNT: USD427885
[PROFIT DEFICIT] DAY: 33, AMOUNT: USD150300
[PROFIT DEFICIT] DAY: 34, AMOUNT: USD9460
[PROFIT DEFICIT] DAY: 38, AMOUNT: USD10492
[PROFIT DEFICIT] DAY: 46, AMOUNT: USD30475
[PROFIT DEFICIT] DAY: 48, AMOUNT: USD139224
[PROFIT DEFICIT] DAY: 49, AMOUNT: USD33172
[PROFIT DEFICIT] DAY: 50, AMOUNT: USD32889
[PROFIT DEFICIT] DAY: 51, AMOUNT: USD57033
[PROFIT DEFICIT] DAY: 52, AMOUNT: USD35752
[PROFIT DEFICIT] DAY: 53, AMOUNT: USD364
[PROFIT DEFICIT] DAY: 54, AMOUNT: USD20332
[PROFIT DEFICIT] DAY: 55, AMOUNT: USD92168
[PROFIT DEFICIT] DAY: 59, AMOUNT: USD28519
[PROFIT DEFICIT] DAY: 61, AMOUNT: USD650335
[PROFIT DEFICIT] DAY: 62, AMOUNT: USD77742
[PROFIT DEFICIT] DAY: 63, AMOUNT: USD4908
[PROFIT DEFICIT] DAY: 64, AMOUNT: USD259875
[PROFIT DEFICIT] DAY: 69, AMOUNT: USD1596
[PROFIT DEFICIT] DAY: 72, AMOUNT: USD428626
[PROFIT DEFICIT] DAY: 79, AMOUNT: USD419660
[PROFIT DEFICIT] DAY: 80, AMOUNT: USD168478
[PROFIT DEFICIT] DAY: 82, AMOUNT: USD401543
[PROFIT DEFICIT] DAY: 86, AMOUNT: USD321565
